词语	拼音	词性	英语	例句
比	bǐ	p	compare	比赛结果是一比三。
打	dǎ	v	hit	我喜欢打球。
好	hǎo	a	good	你游泳游得好不好？
会	huì	vu	can	你会滑雪吗？
教	jiāo	v	teach	家教每星期来两次，每次教我两个小时。
篮球	lánqiú	n	basketball	你喜欢不喜欢打篮球？
累	lèi	v	tired	我累了，实在爬不动了。
跑	pǎo	v	run	去跑步吧。
球	qiú	n	ball	你足球踢得怎么样？
热	rè	a	hot	好热！
踢	tī	v	kick	你足球踢得怎么样？
学	xué	v	learn	我学过打篮球。
足球	zúqiú	n	football	你足球踢得怎么样？
比赛	bǐsài	v	match	人们会观看龙舟比赛，吃粽子等。
参加	cānjiā	v	participate in	你平时参加什么运动项目吗？
打球	dǎqiú	v	play a ball	你喜欢打球还是游泳？
动作	dòngzuò	n	action	运动员的动作很好看。
汗	hàn	n	sweat	我都出汗了！
划	huá	v	paddle	用力划船，加油！
局	jú	n	game	来一局吗?
练	liàn	v	practice	您练了多久了？
爬	pá	v	climb	明天是星期六，我们去爬香山，怎么样？
爬山	páshān	v	climb?mountain	爬山，游泳我都喜欢。
排球	páiqiú	n	volleyball	雨大了，今天的排球赛不成了
跑步	pǎobù	v	run	去跑步吧。
散步	sànbù	v	take a walk	我们去散散步吧。
杀	shā	v	kill	用力杀，这是机会球！
跳	tiào	v	jump	我喜欢跳舞。
跳舞	tiàowǔ	v	dance	我不会跳舞。
网球	wǎngqiú	n	tennis	我喜欢运动可多了，像篮球、网球、足球什么的，我都喜欢。
赢	yíng	v	win	你们赢得什么了吗？
游	yóu	v	swim	咱们一起去游泳，怎么样？
游泳	yóuyǒng	v	swimming	咱们一起去游泳，怎么样？
运动	yùndòng	n	exercise	你喜欢运动吗？
拔河	báhé	v	tug-of-war	挑几个人去参加拔河比赛
报名	bàomíng	v	sign up	我要报名演讲比赛。
出汗	chūhàn	v	sweat	我都出汗了！
锻炼	duànliàn	v	physical exercise	我每天都锻炼。
高尔夫	gāoěrfū	n	golf	你准备在什么地方打高尔夫球？
馆	guǎn	n	venue	羽毛球馆关门了。
冠军	guànjūn	n	champion	冠军叫他夺上了
呼吸	hūxī	v	breathe	跑步时注意调整呼吸。
滑冰	huábīng	v	skating	我喜欢滑冰。
滑雪	huáxuě	v	skiing	你会滑雪吗？
活动	huódòng	v	activity	李先生，请问在北京的活动是怎么安排的？
健身	jiànshēn	v	bodybuilding	游泳馆、健身房、卡拉OK厅等等，应有尽有。
健身房	jiànshēnfáng	n	gym	大上午的去什么健身房啊？
进攻	jìngōng	v	attack	进攻两个小时了。
篮	lán	n	basket	你喜欢不喜欢打篮球？
溜冰	liūbīng	v	skating	我喜欢溜冰。
